scheme,pol,orbit,k,n_cities,n_replicates,mean_abs_bias_db,median_abs_bias_db,instability_db,p90_abs_bias_db,mean_synthetic_ri,n_cities_agreement,spearman_delta_vs_ob_built,spearman_p
both_thinned,vh_db_mean,ASCENDING,1,549,54900,0.7327064765204901,0.5382252212795393,0.918049701452758,1.4939595196657616,0.21956148978749368,549,0.22836099036412932,6.298217965613338e-08
both_thinned,vh_db_mean,ASCENDING,2,549,54900,0.5139487916998128,0.3774255607789483,0.6407390533209993,1.0391487999709494,0.2713459615825501,549,0.21317589729444383,4.6177512388139817e-07
both_thinned,vh_db_mean,ASCENDING,3,549,54900,0.41115513891972216,0.3051381989809663,0.512825530004747,0.8327405116621339,0.30995496588933635,549,0.2039322942455172,1.449177956745359e-06
both_thinned,vh_db_mean,ASCENDING,4,549,54900,0.35384794129657443,0.2556946545365921,0.44248936104752407,0.7198176491597725,0.34180483276665286,549,0.21653544720395718,3.008305760777325e-07
both_thinned,vh_db_mean,ASCENDING,6,549,54900,0.278728466393999,0.20222114278671288,0.34695992840338086,0.5665560484957224,0.39399274083398117,549,0.21355986139581284,4.39857164529623e-07
both_thinned,vh_db_mean,ASCENDING,8,549,54900,0.23495204964228894,0.17381253624348858,0.2928313666629102,0.4771665300136388,0.43680296605211066,549,0.2129264239714276,4.7657492593362244e-07
both_thinned,vh_db_mean,ASCENDING,12,549,54900,0.17947440517317786,0.13593853439987047,0.22331285042680232,0.3634626329088515,0.5057781007216792,549,0.21547072552027624,3.448487416766708e-07
both_thinned,vh_db_mean,ASCENDING,16,549,54900,0.1437448230454879,0.10599650808322814,0.17961128593076522,0.2944678133123837,0.5605437300870715,549,0.21412766703027664,4.092696396412842e-07
both_thinned,vh_db_mean,DESCENDING,1,561,56100,0.8262808735570788,0.5946330033822367,1.0281778037595797,1.68584578460406,0.21956148978749368,561,0.2479050853745095,2.6521243579987007e-09
both_thinned,vh_db_mean,DESCENDING,2,561,56100,0.5768762312037246,0.4251127104761512,0.7169706729505101,1.1653974382905379,0.2713459615825501,561,0.24328806201156317,5.300142625282149e-09
both_thinned,vh_db_mean,DESCENDING,3,561,56100,0.4673039519487108,0.34524841842283926,0.5815942496221767,0.9434075943568758,0.30995496588933635,561,0.24915308382868245,2.194162609691444e-09
both_thinned,vh_db_mean,DESCENDING,4,561,56100,0.39659186061519724,0.2870862911852914,0.49415322325009786,0.8077508493857974,0.34180483276665286,561,0.2558245605885089,7.826587194989954e-10
both_thinned,vh_db_mean,DESCENDING,6,561,56100,0.31482301736742724,0.23131996711851244,0.39197004758130793,0.6392478759905974,0.39399274083398117,561,0.24794620502731285,2.6356546979314954e-09
both_thinned,vh_db_mean,DESCENDING,8,561,56100,0.26559301520699347,0.19871190836329866,0.33136238568560133,0.5398306682748277,0.43680296605211066,561,0.2427921793886656,5.704555445664438e-09
both_thinned,vh_db_mean,DESCENDING,12,561,56100,0.20292357670980554,0.1534727490105876,0.25355764622560817,0.4124427446660531,0.5057781007216792,561,0.24172286451667435,6.6810820763473015e-09
both_thinned,vh_db_mean,DESCENDING,16,561,56100,0.1620620999116124,0.1192327544905396,0.20175747166891994,0.32925971209286975,0.5605437300870715,561,0.2376804967974505,1.2060019542102414e-08
both_thinned,vv_db_mean,ASCENDING,1,549,54900,0.7231894204499585,0.5636901938168668,0.9143330204304677,1.501075821027677,0.21956148978749368,549,0.3281039059291218,3.030433600623331e-15
both_thinned,vv_db_mean,ASCENDING,2,549,54900,0.5102381608400015,0.3945214959814711,0.6382539685499767,1.0377320495697804,0.2713459615825501,549,0.32204308208480964,1.0296602072406422e-14
both_thinned,vv_db_mean,ASCENDING,3,549,54900,0.41144510385626426,0.3224434748125282,0.5133811356064452,0.8361733934451411,0.30995496588933635,549,0.3052677416235255,2.639983079293188e-13
both_thinned,vv_db_mean,ASCENDING,4,549,54900,0.3506562352210965,0.2742024368391167,0.4378275454653931,0.7145411551744715,0.34180483276665286,549,0.3004814073660409,6.417672083192756e-13
both_thinned,vv_db_mean,ASCENDING,6,549,54900,0.27969200164422436,0.21969891281454768,0.3483098454871183,0.5652651862997533,0.39399274083398117,549,0.3169170942493174,2.835931194958673e-14
both_thinned,vv_db_mean,ASCENDING,8,549,54900,0.2338066593583481,0.1858101282346647,0.2914120787141069,0.47580163481219523,0.43680296605211066,549,0.31106266606701233,8.809919952923416e-14
both_thinned,vv_db_mean,ASCENDING,12,549,54900,0.1786917216163343,0.13982338417384454,0.22297215266240994,0.3628420352113058,0.5057781007216792,549,0.3132641956213155,5.769374360327849e-14
both_thinned,vv_db_mean,ASCENDING,16,549,54900,0.14398949138166545,0.11050451768283853,0.17967660849321232,0.29382866873051305,0.5605437300870715,549,0.31841005429707125,2.115501323924282e-14
both_thinned,vv_db_mean,DESCENDING,1,561,56100,0.7869867976348405,0.5920908433629579,0.9882171791375253,1.6246098929828896,0.21956148978749368,561,0.3126647664063043,3.457071388708565e-14
both_thinned,vv_db_mean,DESCENDING,2,561,56100,0.5541510604639214,0.43906839384293406,0.692051369333169,1.1308382991632893,0.2713459615825501,561,0.3294451529843943,1.143897808680129e-15
both_thinned,vv_db_mean,DESCENDING,3,561,56100,0.4479143330390628,0.3538454094965129,0.5588276533837397,0.9108262796377519,0.30995496588933635,561,0.3308138597086146,8.580804199982104e-16
both_thinned,vv_db_mean,DESCENDING,4,561,56100,0.38319729832263383,0.30356872895476883,0.4777741696765265,0.7770295377844476,0.34180483276665286,561,0.32369774696756615,3.765832760753096e-15
both_thinned,vv_db_mean,DESCENDING,6,561,56100,0.30473996562992156,0.2431120689813664,0.379149034991942,0.6193093846006378,0.39399274083398117,561,0.33684760803496405,2.3745166880234377e-16
both_thinned,vv_db_mean,DESCENDING,8,561,56100,0.25519320452493405,0.20201938389368035,0.31791559737743197,0.5176583780915597,0.43680296605211066,561,0.33061329095585007,8.950845051432097e-16
both_thinned,vv_db_mean,DESCENDING,12,561,56100,0.19503315527011808,0.1576625102717495,0.24289858740278455,0.3938946769784906,0.5057781007216792,561,0.3338681323659299,4.493990359758412e-16
both_thinned,vv_db_mean,DESCENDING,16,561,56100,0.15616411227789415,0.12659331576527189,0.19465058615997177,0.3179080777529178,0.5605437300870715,561,0.33164070456180283,7.207669256856158e-16
end_thinned,vh_db_mean,ASCENDING,1,549,54900,0.514390925991348,0.38498007461114625,0.6321949047987878,0.9938149186271539,0.1867127435704179,549,0.21822479497227146,2.418818369496436e-07
end_thinned,vh_db_mean,ASCENDING,2,549,54900,0.3595044227573035,0.27385157063846677,0.44618032649606437,0.7166077971129549,0.22742221509613564,549,0.2039265650616456,1.4501823676584904e-06
