coef,se,t,p_value,n_obs,n_cities,scheme,pol,orbit,model,term
-0.20598288025527967,0.004995782259019769,-41.2313566876103,4.2183629113219635e-170,4392,549,both_thinned,vh_db_mean,ASCENDING,abs_bias_db ~ log(k) + city FE,logk
-1.5651462976066928,0.03791939980507973,-41.27560841290067,2.7034738263598733e-170,4392,549,both_thinned,vh_db_mean,ASCENDING,abs_bias_db ~ synthetic_ri + city FE,synthetic_ri
-0.23196287549235955,0.005565796424443951,-41.676492958603625,9.10662343076654e-174,4488,561,both_thinned,vh_db_mean,DESCENDING,abs_bias_db ~ log(k) + city FE,logk
-1.7625772863267621,0.04218192019534316,-41.785136337187154,3.0198166493750707e-174,4488,561,both_thinned,vh_db_mean,DESCENDING,abs_bias_db ~ synthetic_ri + city FE,synthetic_ri
-0.20313123065597177,0.004322322458015475,-46.995852953839126,2.2044945657849702e-194,4392,549,both_thinned,vv_db_mean,ASCENDING,abs_bias_db ~ log(k) + city FE,logk
-1.5450379695087644,0.03266938581999191,-47.293144046904125,1.3766806508991143e-195,4392,549,both_thinned,vv_db_mean,ASCENDING,abs_bias_db ~ synthetic_ri + city FE,synthetic_ri
-0.22088443091264126,0.004494016776783464,-49.1507802226623,2.8600785841491903e-205,4488,561,both_thinned,vv_db_mean,DESCENDING,abs_bias_db ~ log(k) + city FE,logk
-1.6805863148763243,0.03407415234861216,-49.32144159250888,5.906033752895298e-206,4488,561,both_thinned,vv_db_mean,DESCENDING,abs_bias_db ~ synthetic_ri + city FE,synthetic_ri
-0.14071416363418623,0.0035151863867685113,-40.030356331558245,8.126899267196906e-165,4392,549,end_thinned,vh_db_mean,ASCENDING,abs_bias_db ~ log(k) + city FE,logk
-1.2306345349869399,0.0305266386929502,-40.31346350855005,4.5403527455862316e-166,4392,549,end_thinned,vh_db_mean,ASCENDING,abs_bias_db ~ synthetic_ri + city FE,synthetic_ri
-0.16405292976001665,0.003915572971220748,-41.89755393803076,9.652199775890751e-175,4488,561,end_thinned,vh_db_mean,DESCENDING,abs_bias_db ~ log(k) + city FE,logk
-1.432211677931894,0.0340712356709682,-42.03580086625003,2.379033067010712e-175,4488,561,end_thinned,vh_db_mean,DESCENDING,abs_bias_db ~ synthetic_ri + city FE,synthetic_ri
-0.13695867669430686,0.0031162255610881558,-43.95018075857199,8.928618118441895e-182,4392,549,end_thinned,vv_db_mean,ASCENDING,abs_bias_db ~ log(k) + city FE,logk
-1.196703314164703,0.026935856489679562,-44.42789167009478,8.724104464591485e-184,4392,549,end_thinned,vv_db_mean,ASCENDING,abs_bias_db ~ synthetic_ri + city FE,synthetic_ri
-0.15417978795125625,0.0031619324334730744,-48.76125318778706,1.0607748560164232e-203,4488,561,end_thinned,vv_db_mean,DESCENDING,abs_bias_db ~ log(k) + city FE,logk
-1.347209090776215,0.027519898808690976,-48.95399870986288,1.7707593396965332e-204,4488,561,end_thinned,vv_db_mean,DESCENDING,abs_bias_db ~ synthetic_ri + city FE,synthetic_ri
-0.15238445924432642,0.004013689735097521,-37.96617808093328,1.5003700534076342e-155,4392,549,start_thinned,vh_db_mean,ASCENDING,abs_bias_db ~ log(k) + city FE,logk
-1.3373957406361474,0.03497178207257664,-38.242138700872076,8.394906956793128e-157,4392,549,start_thinned,vh_db_mean,ASCENDING,abs_bias_db ~ synthetic_ri + city FE,synthetic_ri
-0.17257401471863654,0.004635097401855983,-37.23201472519964,1.3174818730104956e-153,4488,561,start_thinned,vh_db_mean,DESCENDING,abs_bias_db ~ log(k) + city FE,logk
-1.5129219795313087,0.040396682895257906,-37.451638874757904,1.2545049995081684e-154,4488,561,start_thinned,vh_db_mean,DESCENDING,abs_bias_db ~ synthetic_ri + city FE,synthetic_ri
-0.15539741829582113,0.003446923547921631,-45.08293152875993,1.6008152909081562e-186,4392,549,start_thinned,vv_db_mean,ASCENDING,abs_bias_db ~ log(k) + city FE,logk
-1.3637719748671355,0.03002863462998351,-45.41571708709703,6.651243960991343e-188,4392,549,start_thinned,vv_db_mean,ASCENDING,abs_bias_db ~ synthetic_ri + city FE,synthetic_ri
-0.1684098739356655,0.003680948573930454,-45.75175951340182,2.599552217205546e-191,4488,561,start_thinned,vv_db_mean,DESCENDING,abs_bias_db ~ log(k) + city FE,logk
-1.4758464913282985,0.03199245534394822,-46.1310792016929,6.716924691522525e-193,4488,561,start_thinned,vv_db_mean,DESCENDING,abs_bias_db ~ synthetic_ri + city FE,synthetic_ri
