product_key,n_versions,n_cog,n_non_cog,first_month,first_name
S1A_IW_GRDH_1SDH_20180322T094717_20180322T094742_021126_0244E5_F19E,2,0,2,2018-03,S1A_IW_GRDH_1SDH_20180322T094717_20180322T094742_021126_0244E5_F19E.SAFE
S1A_IW_GRDH_1SDH_20190506T035649_20190506T035714_027101_030DE2_E5D2,2,0,2,2019-05,S1A_IW_GRDH_1SDH_20190506T035649_20190506T035714_027101_030DE2_E5D2.SAFE
S1A_IW_GRDH_1SDH_20190506T092801_20190506T092830_027105_030E01_9C99,2,0,2,2019-05,S1A_IW_GRDH_1SDH_20190506T092801_20190506T092830_027105_030E01_9C99.SAFE
S1A_IW_GRDH_1SDH_20190506T092830_20190506T092855_027105_030E01_2EB6,2,0,2,2019-05,S1A_IW_GRDH_1SDH_20190506T092830_20190506T092855_027105_030E01_2EB6.SAFE
S1A_IW_GRDH_1SDH_20190506T092920_20190506T092945_027105_030E01_2A1E,2,0,2,2019-05,S1A_IW_GRDH_1SDH_20190506T092920_20190506T092945_027105_030E01_2A1E.SAFE
S1A_IW_GRDH_1SDH_20190506T092920_20190506T092945_027105_030E01_BD33,2,0,2,2019-05,S1A_IW_GRDH_1SDH_20190506T092920_20190506T092945_027105_030E01_BD33.SAFE
S1A_IW_GRDH_1SDH_20190506T093010_20190506T093035_027105_030E01_27AA,2,0,2,2019-05,S1A_IW_GRDH_1SDH_20190506T093010_20190506T093035_027105_030E01_27AA.SAFE
S1A_IW_GRDH_1SDH_20190506T093035_20190506T093100_027105_030E01_8A03,2,0,2,2019-05,S1A_IW_GRDH_1SDH_20190506T093035_20190506T093100_027105_030E01_8A03.SAFE
S1A_IW_GRDH_1SDH_20190506T093125_20190506T093150_027105_030E01_8DC8,2,0,2,2019-05,S1A_IW_GRDH_1SDH_20190506T093125_20190506T093150_027105_030E01_8DC8.SAFE
S1A_IW_GRDH_1SDH_20190506T093150_20190506T093215_027105_030E01_4992,2,0,2,2019-05,S1A_IW_GRDH_1SDH_20190506T093150_20190506T093215_027105_030E01_4992.SAFE
S1A_IW_GRDH_1SDH_20190506T093240_20190506T093305_027105_030E01_0B49,2,0,2,2019-05,S1A_IW_GRDH_1SDH_20190506T093240_20190506T093305_027105_030E01_0B49.SAFE
S1A_IW_GRDH_1SDH_20190506T093240_20190506T093305_027105_030E01_DB42,2,0,2,2019-05,S1A_IW_GRDH_1SDH_20190506T093240_20190506T093305_027105_030E01_DB42.SAFE
S1A_IW_GRDH_1SDH_20190630T092431_20190630T092456_027907_032691_8B87,2,0,2,2019-06,S1A_IW_GRDH_1SDH_20190630T092431_20190630T092456_027907_032691_8B87.SAFE
S1A_IW_GRDH_1SDH_20190630T141223_20190630T141252_027910_0326AA_1361,2,0,2,2019-06,S1A_IW_GRDH_1SDH_20190630T141223_20190630T141252_027910_0326AA_1361.SAFE
S1A_IW_GRDH_1SDH_20190630T141252_20190630T141317_027910_0326AA_B2D2,2,0,2,2019-06,S1A_IW_GRDH_1SDH_20190630T141252_20190630T141317_027910_0326AA_B2D2.SAFE
S1A_IW_GRDH_1SDH_20190909T225416_20190909T225441_028950_03486A_449B,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190909T225416_20190909T225441_028950_03486A_449B.SAFE
S1A_IW_GRDH_1SDH_20190911T100048_20190911T100113_028972_03492E_C92E,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190911T100048_20190911T100113_028972_03492E_C92E.SAFE
S1A_IW_GRDH_1SDH_20190911T100048_20190911T100113_028972_03492E_D7CE,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190911T100048_20190911T100113_028972_03492E_D7CE.SAFE
S1A_IW_GRDH_1SDH_20190911T100138_20190911T100203_028972_03492E_5556,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190911T100138_20190911T100203_028972_03492E_5556.SAFE
S1A_IW_GRDH_1SDH_20190911T100318_20190911T100343_028972_03492E_D32F,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190911T100318_20190911T100343_028972_03492E_D32F.SAFE
S1A_IW_GRDH_1SDH_20190911T100343_20190911T100404_028972_03492E_8192,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190911T100343_20190911T100404_028972_03492E_8192.SAFE
S1A_IW_GRDH_1SDH_20190911T100608_20190911T100633_028972_03492F_7691,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190911T100608_20190911T100633_028972_03492F_7691.SAFE
S1A_IW_GRDH_1SDH_20190911T100633_20190911T100658_028972_03492F_0548,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190911T100633_20190911T100658_028972_03492F_0548.SAFE
S1A_IW_GRDH_1SDH_20190911T100723_20190911T100736_028972_03492F_DC5E,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190911T100723_20190911T100736_028972_03492F_DC5E.SAFE
S1A_IW_GRDH_1SDH_20190911T113527_20190911T113552_028973_034938_639E,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190911T113527_20190911T113552_028973_034938_639E.SAFE
S1A_IW_GRDH_1SDH_20190911T113552_20190911T113617_028973_034938_DB6C,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190911T113552_20190911T113617_028973_034938_DB6C.SAFE
S1A_IW_GRDH_1SDH_20190911T113732_20190911T113757_028973_034938_D2C3,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190911T113732_20190911T113757_028973_034938_D2C3.SAFE
S1A_IW_GRDH_1SDH_20190911T113822_20190911T113847_028973_034938_E9AC,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190911T113822_20190911T113847_028973_034938_E9AC.SAFE
S1A_IW_GRDH_1SDH_20190911T113847_20190911T113912_028973_034938_C82F,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190911T113847_20190911T113912_028973_034938_C82F.SAFE
S1A_IW_GRDH_1SDH_20190911T113912_20190911T113941_028973_034938_27AA,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190911T113912_20190911T113941_028973_034938_27AA.SAFE
S1A_IW_GRDH_1SDH_20190911T145512_20190911T145537_028975_03494E_F4C9,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190911T145512_20190911T145537_028975_03494E_F4C9.SAFE
S1A_IW_GRDH_1SDH_20190911T145537_20190911T145602_028975_03494E_CF32,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190911T145537_20190911T145602_028975_03494E_CF32.SAFE
S1A_IW_GRDH_1SDH_20190929T034015_20190929T034044_029230_03520E_6CBC,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190929T034015_20190929T034044_029230_03520E_6CBC.SAFE
S1A_IW_GRDH_1SDH_20190929T034044_20190929T034109_029230_03520E_0FDA,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190929T034044_20190929T034109_029230_03520E_0FDA.SAFE
S1A_IW_GRDH_1SDH_20190929T034159_20190929T034224_029230_03520E_2BBB,2,0,2,2019-09,S1A_IW_GRDH_1SDH_20190929T034159_20190929T034224_029230_03520E_2BBB.SAFE
